,word,audio,defination,example,synonyms
0,Vigorous,https://lex-audio.useremarkable.com/mp3/vigorous_us_1.mp3,"Strong, healthy, and full of energy.","A tall, vigorous, and muscular man","'robust', 'healthy', 'in good health', 'hale and hearty', 'strong', 'strong as an horse', 'strong as an lion', 'strong as an ox', 'sturdy', 'fine', 'fit', 'in good condition', 'in tip-top condition', 'in good shape', 'in good trim', 'in good kilter'"
1,Insensitive,https://lex-audio.useremarkable.com/mp3/insensitive_us_1.mp3,Showing or feeling no concern for others' feelings.,An insensitive remark,"'heartless', 'unfeeling', 'inconsiderate', 'thoughtless', 'thick-skinned', 'hard-hearted', 'stony-hearted', 'cold-hearted', 'cold-blooded', 'with a heart of stone', 'as hard as nails', 'lacking compassion', 'compassionless', 'uncaring', 'unconcerned', 'unsympathetic', 'unkind', 'callous', 'hard', 'harsh', 'cruel', 'merciless', 'pitiless', 'unpitying', 'uncharitable', 'inhuman'"
2,Alienate,https://lex-audio.useremarkable.com/mp3/alienate_us_1.mp3,Cause (someone) to feel isolated or estranged.,An urban environment that would alienate its inhabitants,"'estrange', 'turn away', 'set apart', 'drive apart', 'isolate', 'detach', 'distance', 'put at a distance'"
3,Flounder,https://lex-audio.useremarkable.com/mp3/flounder_us_1.mp3,Struggle or stagger helplessly or clumsily in water or mud.,He was floundering about in the shallow offshore waters,"'struggle', 'thrash', 'thresh', 'flail', 'toss and turn', 'twist and turn', 'pitch', 'splash', 'stagger', 'stumble', 'falter', 'lurch', 'blunder', 'fumble', 'grope', 'squirm', 'writhe'"
4,Celebrate,https://lex-audio.useremarkable.com/mp3/celebrate_gb_1.mp3,Acknowledge (a significant or happy day or event) with a social gathering or enjoyable activity.,They were celebrating their wedding anniversary at a swanky restaurant,"'commemorate', 'observe', 'honour', 'mark', 'salute', 'recognize', 'acknowledge', 'remember', 'memorialize', 'keep', 'drink to', 'toast', 'drink a toast to'"
5,Hubris,https://lex-audio.useremarkable.com/mp3/hubris_us_1.mp3,Excessive pride or self-confidence.,The self-assured hubris among economists was shaken in the late 1980s,"'arrogance', 'conceit', 'conceitedness', 'haughtiness', 'pride', 'vanity', 'self-importance', 'self-conceit', 'pomposity', 'superciliousness', 'feeling of superiority'"
6,Shackle,https://lex-audio.useremarkable.com/mp3/shackle_us_1.mp3,Chain with shackles.,The prisoner was shackled to the heavy steel chair in the center of the room,"'chain', 'fetter', 'manacle'"
7,Multitude,https://lex-audio.useremarkable.com/mp3/multitude_us_1.mp3,A large number.,A multitude of medical conditions are due to being overweight,"'a lot', 'a great number', 'a large number', 'a great quantity', 'a large quantity', 'host', 'horde', 'mass', 'mountain', 'droves', 'swarm', 'army', 'legion', 'sea', 'abundance', 'profusion'"
8,Tacit,https://lex-audio.useremarkable.com/mp3/tacit_us_1.mp3,Understood or implied without being stated.,Your silence may be taken to mean tacit agreement,"'implicit', 'understood', 'implied', 'inferred', 'hinted', 'suggested', 'insinuated'"
9,React,https://lex-audio.useremarkable.com/mp3/react_us_1.mp3,Respond or behave in a particular way in response to something.,He reacted angrily to the news of his dismissal,"'behave', 'act', 'take it', 'conduct oneself', 'proceed'"
10,Wise,https://lex-audio.useremarkable.com/mp3/_wise_1_gb_2.mp3,"Having or showing experience, knowledge, and good judgement.",She seems kind and wise,"'sage', 'sagacious', 'intelligent', 'clever', 'learned', 'showing great knowledge', 'with great knowledge', 'knowledgeable', 'informed', 'enlightened'"
11,Grandparent,https://lex-audio.useremarkable.com/mp3/grandparent_us_1.mp3,A parent of one's father or mother; a grandmother or grandfather.,It must be a great blessing to have chloe's grandparents living nearby,"'forebear', 'ancestor', 'predecessor', 'progenitor', 'father', 'grandfather', 'parent', 'grandparent'"
12,Abandon,https://lex-audio.useremarkable.com/mp3/abandon_us_1.mp3,Cease to support or look after (someone); desert.,Her natural mother had abandoned her at an early age,"'desert', 'leave', 'leave high and dry', ""turn one's back on"", 'cast aside', 'break with', 'break up with'"
13,Harsh,https://lex-audio.useremarkable.com/mp3/harsh_us_1.mp3,Unpleasantly rough or jarring to the senses.,Drenched in a harsh white neon light,"'grating', 'jarring', 'grinding', 'rasping', 'raspy', 'strident', 'raucous', 'brassy', 'jangling', 'metallic', 'ear-piercing', 'discordant', 'dissonant', 'disagreeable', 'unharmonious', 'cacophonous', 'unmelodious'"
14,Devote,https://lex-audio.useremarkable.com/mp3/devote_us_1.mp3,"Give all or a large part of one's time or resources to (a person, activity, or cause)",I wanted to devote more time to my family,"'allocate', 'assign', 'allot', 'commit', 'give', 'give over', 'afford', 'apportion', 'surrender', 'consign', 'sacrifice', 'pledge', 'dedicate', 'consecrate'"
